# id	type	expected	source
v1.arithmetic.number	number	35	a = 12; b = 23; a + b
v1.arithmetic.precedence	number	14	2 + 3 * 4
v1.string.concat	string	molo	'mo' + 'lo'
v1.string.repeat	string	molomolo	'molo' * 2
v1.null.coalesce	string	fallback	null ?? 'fallback'
v1.logical.and_or	boolean	true	0 || 12
v1.object.literal	string	molo	obj = {name: 'molo'}; obj['name']
v1.object.assignment	number	20	obj = {}; obj['age'] = 20; obj['age']
v1.array.literal	string	test	arr = ['molo', 'test']; arr[1]
v1.array.assignment	number	23	arr = [0, 1]; arr[0] = 23; arr[0]
v1.if.else	number	2	if(false) { 1; } else { 2; }
v1.while.loop	number	0	a = 3; while(a > 0) { a = a - 1; }; a
v1.for.loop	number	6	s = 0; for a = 0 till 3 { s = s + a; }; s
v1.for.loop.down	number	12	s = 0; for a = 6 till 0 down with 2 { s = s + a; }; s
v1.for.in	string	test	last = ''; for item in ['molo', 'test'] { last = item; }; last
v1.break	number	2	s = 0; for a = 0 till 5 { if(a == 3) { break }; s = a; }; s
v1.continue	number	5	s = 0; for a = 0 till 5 { if(a == 3) { continue }; s = a; }; s
v1.scope.parent_assignment	number	12	a = 0; if(true) { a = 12; b = 1; }; a
v1.scope.local_hidden	null	null	if(true) { hidden = 10; }; hidden
v1.return.block	number	12	if(true) { return 12; }; 0
v1.host.echo	number	35	echo(12 + 23)
v1.host.object_arg	string	molo	echo({name: 'molo'})['name']
v1.comments.line	number	5	a = 3 # ignored\nb = 2\na + b
v1.comments.block	number	7	a = 3 #* block\ncomment *#\nb = 4\na + b
v1.language.fr	number	3	<fr>\ns = 0;pour a = 0 jusqua 2 mont avec 1 { s = s + 1; }\ns
v1.language.bm	number	3	<bm>\ns = 0;seginka a = 0 kata 2 kay niin 1 { s = s + 1; }\ns
v1.runtime.divide_by_zero	error	Invalid division by 0	a = 1; b = 0; a / b
